GCF_000006745.1_ASM674v1_genomic_converted.faa	Vibrio cholerae O1 biovar El Tor str. N1696
GCF_000008165.1_ASM816v1_genomic_converted.faa	Bacillus anthracis str. Sterne
GCF_000009045.1_ASM904v1_genomic_converted.faa	Bacillus subtilis subsp. subtilis str. 168
GCF_000176155.1_ASM17615v1_genomic_converted.faa	Vibrio metschnikovii CIP 69.14
GCF_000467125.1_ASM46712v1_genomic_converted.faa	Vibrio proteolyticus NBRC 13287
